id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,loss
0,134,9,0.498280788,2200,16,79202,4444.0,6210.0,130.77,132.85,13,0.8182,0.8182,2207903,0.792,0.792,0.6024,0.8390000000000001,0.8462,0.8462,2609026200.0,99,60,1185921.0,99.0,99.0,122.03,109.56,99.0,0.934,0,0,0,6,0,0,0.7959999999999999,0.7928,0
1,138,9,0.471712578,1100,4,13699,574.0,5061.0,132.36,136.8,12,0.6583,0.6423,1251303,0.6423,0.6423,0.4074,0.6583,0.6991,0.6991,898816338.0,79,20,786366.0,79.0,79.0,79.0,79.0,79.0,0.8061,0,0,0,7,0,0,0.64115,0.64807,0
2,163,8,0.037342662,3700,4,13380,2752.0,2385.0,160.88,162.82,14,0.6,0.6,3233330,0.5897,0.5897,0.3415,0.6,0.6389,0.6161,3139117740.0,69,45,771282.0,109.93,86.48,96.57,81.21,69.0,0.6765,0,0,0,14,0,0,0.43485,0.53073,0
3,124,9,0.881914567,1500,7,75464,2078.0,113.0,128.15,125.06,10,0.4286,0.4113,6592689,0.4146,0.4113,0.1704,0.4215,0.4636,0.4554,617997600.0,51,0,351135.0,51.0,51.0,51.0,51.0,51.0,0.5258,0,0,0,38,0,0,0.48565,0.42017,0
4,140,9,0.266526258,4400,4,75545,2630.0,9.0,140.5,140.02,9,0.536,0.5317,1305160,0.5317,0.5317,0.2544,0.5403,0.6091,0.5877,2281309800.0,67,56,628460.0,92.47,78.33,98.47,80.75,67.0,0.7791,0,0,0,3,0,0,0.48585,0.49853000000000003,0
5,166,9,0.273018716,3500,3,78802,2651.0,933.0,157.01,163.17,16,0.6018,0.6018,137630,0.5271,0.5271,0.2316,0.5862,0.6182,0.5484,2334657600.0,68,50,624240.0,96.2,80.46,104.28,83.67,68.0,0.6239,0,0,0,16,0,0,0.57355,0.5443899999999999,0
6,116,10,0.689421763,2600,16,83445,1231.0,3625.0,121.0,117.0,11,0.5289,0.5161,5305096,0.5203,0.5161,0.2505,0.5161,0.5614,0.5565,908328960.0,64,0,516096.0,64.0,64.0,64.0,64.0,64.0,0.6214,0,0,0,3,0,0,0.56805,0.52449,0
7,153,8,0.37227755700000004,5000,2,76635,3444.0,2180.0,155.25,153.41,15,0.43700000000000006,0.43700000000000006,4878239,0.4127,0.4063,0.1561,0.4127,0.4602,0.4522,1867923200.0,52,26,424528.0,76.91,62.87,72.77,61.2,52.0,0.5778,0,0,0,2,0,0,0.30315,0.38566999999999996,0
8,126,10,0.529206889,1800,4,13700,5050.0,1235.0,125.0,125.65,15,0.7627,0.7258,3596159,0.7317,0.7258,0.5218,0.7317,0.8108,0.8036,1524792600.0,90,53,988200.0,90.0,90.0,90.0,90.0,90.0,0.9278,0,0,0,12,0,0,0.7429,0.73322,0
9,117,9,0.224421184,2400,17,2494,6.0,1706.0,119.47,117.51,7,0.945,0.9279,2047,0.8729,0.8729,0.6886,0.8729,0.9279,0.9279,3132201160.0,103,69,1294298.0,103.0,103.0,144.15,121.23,103.0,1.0,0,0,0,64,0,0,0.79645,0.85561,7
